Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
ANT1,2450AT18B100E,ANT_2450AT18B100E,-9.91362,-7.76732,180,top
C1,1uF,C_0402_1005Metric,-9.2964,19.0222,90,top
C2,1.2pF,C_0402_1005Metric,-7.5819,-11.7729,90,top
C3,47uF,C_0402_1005Metric,-5.588,-20.066,270,top
C4,0.1uF,C_0402_1005Metric,-5.6388,-14.3486,90,top
C5,4.7uF,C_0402_1005Metric,-14.478,-3.7465,180,top
C6,0.1uF,C_0402_1005Metric,-15.875,-2.39,270,top
C7,1uF,C_0402_1005Metric,-20.6145,5.1435,0,top
C8,1uF,C_0402_1005Metric,-20.7645,9.4615,0,top
C9,0.1uF,C_0402_1005Metric,-15.86992,-6.52258,270,top
C10,0.1uF,C_0402_1005Metric,5.4864,-18.8468,270,top
C11,22nF,C_0402_1005Metric,7.8462,-20.32,180,top
C12,0.1uF,C_0402_1005Metric,10.2035,-2.0845,270,top
C13,0.1uF,C_0402_1005Metric,9.321,1.7285,180,top
C14,1uF,C_0402_1005Metric,-19.177,10.564,270,top
C15,1uF,C_0402_1005Metric,-14.478,10.518,270,top
C16,0.1uF,C_0402_1005Metric,-16.83512,-6.52018,270,top
C17,1uF,C_0402_1005Metric,11.072,-14.605,0,top
C18,1uF,C_0402_1005Metric,-6.1976,21.9178,90,top
C19,1uF,C_0402_1005Metric,-4.0132,20.3708,180,top
C20,1uF,C_0402_1005Metric,-5.0292,18.8468,270,top
C21,1uF,C_0402_1005Metric,-4.1148,-11.7626,270,top
D1,LED_BGRA,LED_Kingbright_AAA3528ESGCT,-14.224,16.002,0,top
D2,LED_BGRA,LED_Kingbright_AAA3528ESGCT,20.574,7.366,0,top
D3,LED_BGRA,LED_Kingbright_AAA3528ESGCT,0.127,-15.494,0,top
IC1,ESP32-PICO-D4,ESP32-PICO-D4_1,-9.8044,-16.5989,270,top
IC2,"PCA9532BS,118",VQFN-24-1EP_4x4mm_P0.5mm_EP2.45x2.45mm,-1.016,-11.176,0,top
J4,USB_B_Micro,USB_Micro-B_Molex_47346-0001,-22.225,0,270,top
J6,Conn_01x24_Female,Hirose_FH12-24S-0.5SH_1x24-1MP_P0.50mm_Horizontal,0,12.7,180,top
L1,2.7nH,L_0402_1005Metric,-8.0264,-10.3124,0,top
L2,3.3nH,L_0402_1005Metric,-7.56158,-8.6003,90,top
Q1,MMBT3904,SOT-23,-14.285,5.08,90,top
Q2,MMBT3904,SOT-23,-10.525,5.08,0,top
R1,10K,R_0402_1005Metric,2.2352,8.7376,90,top
R2,10K,R_0402_1005Metric,3.4036,8.7606,90,top
R3,10K,R_0402_1005Metric,-16.637,4.676,270,top
R4,10K,R_0402_1005Metric,-12.2555,7.366,0,top
R5,10K,R_0402_1005Metric,-14.90472,-6.52258,90,top
R6,R,R_0402_1005Metric,-17.77238,-6.51002,90,top
R7,10k,R_0402_1005Metric,-14.5899,-18.8849,180,top
R8,R,R_0402_1005Metric,4.5466,-18.8492,270,top
R9,R,R_0402_1005Metric,6.4262,-18.8444,90,top
R10,10K,R_0402_1005Metric,-14.8209,-16.3957,180,top
R11,10K,R_0402_1005Metric,13.6652,-19.0754,90,top
R12,10k,R_0402_1005Metric,7.366,-18.8746,270,top
R13,10K,R_0402_1005Metric,14.6558,-18.7174,90,top
R14,1K,R_0402_1005Metric,8.3058,-18.8698,270,top
R15,200m,R_0402_1005Metric,14.1502,-16.256,180,top
R16,200m,R_0402_1005Metric,7.9986,-16.002,0,top
R17,330R,R_0402_1005Metric,-17.018,14.709,270,top
R18,330R,R_0402_1005Metric,17.78,6.073,270,top
R19,330R,R_0402_1005Metric,-2.667,-16.868,270,top
SW1,SW_Push_Open,SW_SPST_CK_KXT3,-20.4095,-6.1087,0,top
SW2,SW_Push_Open,SW_SPST_CK_KXT3,-20.4083,-8.67918,0,top
U1,CP2102N-A01-GQFN24,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,-12.7,-0.635,0,top
U2,MIC5366-3.3YC5,SOT-353_SC-70-5,-20.5255,7.2415,90,top
U3,STSPIN220,QFN-16-1EP_3x3mm_P0.5mm_EP1.8x1.8mm,11.006,-17.2626,180,top
U4,LIS2DH,LGA-14_2x2mm_P0.35mm_LayoutBorder3x4y,9.215,0,90,top
U5,MIC5366-3.3YC5,SOT-353_SC-70-5,-16.637,10.414,0,top
U6,MIC5366-2.8YC5,SOT-353_SC-70-5,-4.0132,22.1996,0,top
U7,MIC5366-1.3YC5,SOT-353_SC-70-5,-7.1628,19.4056,0,top
